
   WARN  Failed to listen on 127.0.0.1:8000 (reason: Address already in use).  

   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-02-18 14:54:24  ~ 0s
  2026-02-18 14:54:24 /manifest.json  ~ 0s
  2026-02-18 14:54:48  ~ 0s
  2026-02-18 14:54:24  ~ 61s
  2026-02-18 14:55:25 /logo.png  ~ 0s
  2026-02-18 14:55:25  ~ 0s
  2026-02-18 14:55:25  ~ 5s
  2026-02-18 14:55:45 /manifest.json  ~ 0s
  2026-02-18 14:55:30  ~ 93s
  2026-02-18 14:57:03 /logo.png  ~ 0s
  2026-02-18 14:57:04  ~ 0s
  2026-02-18 14:57:04 /sw.js  ~ 4s
  2026-02-18 14:57:19 /manifest.json  ~ 0s
  2026-02-18 14:59:25 /sw.js  ~ 0s
